Temperature,Year,Rainfall
16.99,1956,1.01
9.68,1999,1.32
9.55,1986,1.45
26.41,2013,1.5
9.94,2009,1.56
15.42,1968,1.57
10.34,1957,1.66
12.33,1972,1.67
10.27,1966,1.71
11.24,2014,1.76
15.04,1964,1.96
13.81,2017,2
16.31,1992,2
12.69,1983,2
13.37,1982,2
8.77,1962,2
28.55,2004,2.05
15.77,1978,2.23
16.04,1996,2.24
18.69,1994,2.31
17.81,1981,2.34
20.69,1989,2.45
12.54,2006,2.5
18.35,1987,2.5
17.46,1997,2.54
10.29,2007,2.6
20.29,1977,2.75
18.29,2001,3
18.04,2005,3
18.43,1969,3
19.65,1985,3
38.01,2012,3
15.06,1988,3
14.83,1970,3.02
13.94,1998,3.06
16.93,1993,3.07
26.88,1963,3.12
19.82,1980,3.18
20.29,2016,3.21
14.78,1965,3.23
17.78,1990,3.27
23.68,1959,3.31
20.65,1975,3.35
21.01,1958,3.5
16.97,1974,3.5
19.49,2011,3.51
24.06,1991,3.6
24.59,1960,3.61
16.29,1973,3.71
21.58,1971,3.92
17.92,1976,4.08
21.7,1984,4.3
25.56,2010,4.34
25.29,1961,4.71
22.23,2002,5
35.26,1967,5
31.27,1995,5
34.81,2008,5.2
30.4,2000,5.6
32.4,2003,6
48.27,2015,6.73
39.42,1979,7.58
